"x_index","y_index","z_index","GridBlockID","TrueEasting","TrueNorthing","TrueDepth","Porosity"
6,9,4,1886,702091.15,735720,3.5,0.2653
6,9,5,2406,702091.15,735720,4.5,0.1985
6,9,6,2926,702091.15,735720,5.5,0.2186
6,9,7,3446,702091.15,735720,6.5,0.2285
6,9,8,3966,702091.15,735720,7.5,0.2186
6,9,9,4486,702091.15,735720,8.5,0.1955
6,9,10,5006,702091.15,735720,9.5,0.264
6,9,11,5526,702091.15,735720,10.5,0.2271
6,9,14,7086,702091.15,735720,13.5,0.2269
6,9,15,7606,702091.15,735720,14.5,0.2172
6,9,16,8126,702091.15,735720,15.5,0.3345
6,9,24,12286,702091.15,735720,23.5,0.1671
6,9,25,12806,702091.15,735720,24.5,0.2666
6,9,27,13846,702091.15,735720,26.5,0.2553
6,9,29,14886,702091.15,735720,28.5,0.1777
6,9,40,20606,702091.15,735720,39.5,0.1336
6,9,53,27366,702091.15,735720,52.5,0.1454
6,9,54,27886,702091.15,735720,53.5,0.1116
9,12,42,21769,703579.09,737080,41.25,0.2478
13,12,25,12933,704946.38,737040,24.5,0.1882
19,12,19,9819,707439.68,737040,19,0.3406
19,12,21,10859,707439.68,737040,20.75,0.1343
19,12,22,11379,707439.68,737040,22,0.2377
19,12,23,11899,707439.68,737040,23,0.1985
19,12,24,12419,707439.68,737040,24,0.3026
19,12,27,13979,707439.68,737040,27,0.3569
19,12,45,23339,707439.68,737040,44.25,0.2758
19,12,48,24899,707439.68,737040,47.25,0.1985
19,12,57,29579,707439.68,737040,56.25,0.345
12,2,56,28652,704785.52,733080,55.2,0.2666
12,2,56,28652,704785.52,733080,55.65,0.3261
12,2,57,29172,704785.52,733080,56.5,0.3443
12,2,58,29692,704785.52,733080,57.5,0.377
12,2,59,30212,704785.52,733080,58.5,0.3026
12,2,60,30732,704785.52,733080,59.5,0.2478
12,2,61,31252,704785.52,733080,60.5,0.2382
12,2,62,31772,704785.52,733080,61.5,0.3026
12,2,63,32292,704785.52,733080,62.5,0.2666
12,2,64,32812,704785.52,733080,63.5,0.3026
12,2,65,33332,704785.52,733080,64.3,0.2938
12,2,66,33852,704785.52,733080,65.8,0.3874
12,2,67,34372,704785.52,733080,66.5,0.2933
12,2,68,34892,704785.52,733080,67.5,0.3182
12,2,69,35412,704785.52,733080,68.5,0.3363
12,2,70,35932,704785.52,733080,69.5,0.2938
12,2,72,36972,704785.52,733080,71.5,0.2567
12,2,73,37492,704785.52,733080,72.5,0.3026
12,2,74,38012,704785.52,733080,73.5,0.2478
12,2,75,38532,704785.52,733080,74.5,0.2938
12,2,75,38532,704785.52,733080,74.18,0.3026
12,2,75,38532,704785.52,733080,74.68,0.365
12,2,82,42172,704785.52,733080,82,0.2613
12,2,90,46332,704785.52,733080,89.5,0.351
9,2,55,28129,703297.59,733080,54.4,0.3026
9,2,56,28649,703297.59,733080,55.2,0.2758
9,2,56,28649,703297.59,733080,56,0.2938
9,2,57,29169,703297.59,733080,56.7,0.2938
9,2,59,30209,703297.59,733080,58.2,0.2938
9,2,59,30209,703297.59,733080,59,0.2478
9,2,60,30729,703297.59,733080,59.7,0.2666
9,2,61,31249,703297.59,733080,60.4,0.2758
9,2,61,31249,703297.59,733080,60.2,0.2478
9,2,62,31769,703297.59,733080,62,0.2382
9,2,63,32289,703297.59,733080,62.7,0.2573
9,2,64,32809,703297.59,733080,63.8,0.2666
9,2,66,33849,703297.59,733080,65.25,0.2086
9,2,66,33849,703297.59,733080,65.35,0.2938
9,2,67,34369,703297.59,733080,66.4,0.2475
9,2,68,34889,703297.59,733080,67.2,0.2478
9,2,69,35409,703297.59,733080,68.25,0.2382
9,2,70,35929,703297.59,733080,69.9,0.2478
9,2,71,36449,703297.59,733080,70.9,0.2666
9,2,80,41129,703297.59,733080,79.5,0.3691
9,2,81,41649,703297.59,733080,80.5,0.3691
9,2,82,42169,703297.59,733080,81.45,0.3367
9,2,82,42169,703297.59,733080,81.8,0.2186
1,2,56,28641,700241.29,733040,55.5,0.2666
1,2,59,30201,700241.29,733040,58.5,0.2758
1,2,62,31761,700241.29,733040,61.5,0.2285
1,2,65,33321,700241.29,733040,64.25,0.2478
1,2,67,34361,700241.29,733040,66.5,0.2257
1,2,69,35401,700241.29,733040,68.5,0.3691
1,2,70,35921,700241.29,733040,69.5,0.0882
1,2,83,42681,700241.29,733040,82.75,0.2666
31,2,68,34911,712345.84,733000,67.5,0.2666
31,2,71,36471,712345.84,733000,70.5,0.2666
1,3,32,16201,700281.5,733560,31.5,0.3089
1,3,33,16721,700281.5,733560,32.5,0.3718
1,3,34,17241,700281.5,733560,33.5,0.123
1,3,35,17761,700281.5,733560,34.5,0.1774
1,3,36,18281,700281.5,733560,35.5,0.1985
1,3,37,18801,700281.5,733560,36.5,0.2573
1,3,39,19841,700281.5,733560,38.2,0.2938
1,3,40,20361,700281.5,733560,39.7,0.1563
1,3,42,21401,700281.5,733560,41.6,0.1777
1,3,43,21921,700281.5,733560,42.7,0.2186
1,3,44,22441,700281.5,733560,43.5,0.1
1,3,45,22961,700281.5,733560,44.1,0.1454
1,3,46,23481,700281.5,733560,45.5,0.2086
1,3,47,24001,700281.5,733560,46.5,0.2573
1,3,48,24521,700281.5,733560,47.5,0.2848
1,3,64,32841,700281.5,733560,63.7,0.1882
1,3,65,33361,700281.5,733560,64.5,0.2666
1,3,67,34401,700281.5,733560,66.35,0.1882
1,3,67,34401,700281.5,733560,66.7,0.1882
1,3,68,34921,700281.5,733560,67.28,0.1985
1,3,68,34921,700281.5,733560,67.38,0.2186
5,3,47,24005,701809.65,733520,46.5,0.1882
5,3,48,24525,701809.65,733520,47.2,0.2382
5,3,48,24525,701809.65,733520,47.7,0.2186
5,3,50,25565,701809.65,733520,49.35,0.0882
5,3,52,26605,701809.65,733520,51.2,0.2848
5,3,52,26605,701809.65,733520,51.7,0.3026
5,3,53,27125,701809.65,733520,52.5,0.2573
5,3,54,27645,701809.65,733520,53.25,0.2758
5,3,54,27645,701809.65,733520,53.75,0.2666
5,3,55,28165,701809.65,733520,54.5,0.2418
5,3,56,28685,701809.65,733520,55.5,0.1933
5,3,57,29205,701809.65,733520,56.5,0.2573
5,3,58,29725,701809.65,733520,57.75,0.2758
5,3,68,34925,701809.65,733520,67.45,0.3108
5,3,69,35445,701809.65,733520,68.5,0.3026
9,3,45,22969,703297.59,733560,44.18,0.2478
9,3,50,25569,703297.59,733560,49.13,0.2285
9,3,53,27129,703297.59,733560,52.5,0.3002
9,3,54,27649,703297.59,733560,53.5,0.2848
9,3,55,28169,703297.59,733560,54.7,0.2666
9,3,56,28689,703297.59,733560,55.5,0.2382
9,3,57,29209,703297.59,733560,56.5,0.2478
9,3,59,30249,703297.59,733560,58.55,0.2848
9,3,71,36489,703297.59,733560,70.5,0.2382
9,3,73,37529,703297.59,733560,72.13,0.2285
9,3,74,38049,703297.59,733560,73.15,0.2285
9,3,77,39609,703297.59,733560,76.2,0.1882
9,3,83,42729,703297.59,733560,82.25,0.1
5,6,18,9045,701769.44,734600,17.5,0.2745
5,6,23,11645,701769.44,734600,22.75,0.2938
5,6,24,12165,701769.44,734600,23.5,0.2186
5,6,25,12685,701769.44,734600,24.5,0.2382
5,6,26,13205,701769.44,734600,25.5,0.2666
5,6,27,13725,701769.44,734600,26.5,0.2938
5,6,28,14245,701769.44,734600,27.9,0.3026
5,6,34,17365,701769.44,734600,33.25,0.3197
5,6,35,17885,701769.44,734600,34.5,0.2758
5,6,36,18405,701769.44,734600,35.5,0.3089
5,6,49,25165,701769.44,734600,48.5,0.3113
5,6,50,25685,701769.44,734600,50,0.3612
1,7,10,4921,700321.72,735120,9.5,0.2086
1,7,11,5441,700321.72,735120,10.5,0.1454
1,7,12,5961,700321.72,735120,11.5,0.1985
1,7,13,6481,700321.72,735120,12.6,0.2285
1,7,14,7001,700321.72,735120,13.35,0.3199
1,7,16,8041,700321.72,735120,15.5,0.1985
1,7,19,9601,700321.72,735120,18.5,0.0882
1,7,20,10121,700321.72,735120,19.1,0.2186
1,7,30,15321,700321.72,735120,29.5,0.1563
1,7,33,16881,700321.72,735120,32.8,0.1116
1,7,34,17401,700321.72,735120,33.5,0.1454
1,7,37,18961,700321.72,735120,36.6,0.1563
1,7,39,20001,700321.72,735120,38.5,0.2653
9,7,10,4929,703217.16,735160,9.7,0.2938
9,7,11,5449,703217.16,735160,10.5,0.2573
9,7,12,5969,703217.16,735160,11.5,0.1661
9,7,15,7529,703217.16,735160,14.15,0.2285
9,7,16,8049,703217.16,735160,15.5,0.2086
9,7,17,8569,703217.16,735160,16.5,0.2285
9,7,18,9089,703217.16,735160,17.75,0.2285
9,7,19,9609,703217.16,735160,18.75,0.1671
9,7,25,12729,703217.16,735160,24.3,0.1
9,7,26,13249,703217.16,735160,25.5,0.2848
9,7,37,18969,703217.16,735160,36.5,0.3199
9,7,38,19489,703217.16,735160,37.5,0.2285
9,7,39,20009,703217.16,735160,38.25,0.2573
21,7,19,9621,708042.9,735200,18.7,0.2086
21,7,20,10141,708042.9,735200,19.5,0.1985
21,7,21,10661,708042.9,735200,20.5,0.2382
21,7,22,11181,708042.9,735200,21.5,0.2072
21,7,23,11701,708042.9,735200,22.5,0.2478
21,7,31,15861,708042.9,735200,31,0.2382
28,7,17,8588,711018.77,735280,16.5,0.1671
28,7,25,12748,711018.77,735280,24.5,0.1985
28,7,26,13268,711018.77,735280,26,0.1985
20,5,37,18900,707922.25,734160,36.5,0.2186
20,5,38,19420,707922.25,734160,38,0.2382
20,5,39,19940,707922.25,734160,39,0.2257
20,5,43,22020,707922.25,734160,42.75,0.3176
20,5,44,22540,707922.25,734160,44,0.2086
20,5,45,23060,707922.25,734160,45,0.2186
20,5,46,23580,707922.25,734160,45.5,0.2573
20,5,47,24100,707922.25,734160,46.5,0.2086
28,5,35,17868,711018.77,734120,35,0.1563
28,5,39,19948,711018.77,734120,38.5,0.3026
28,5,40,20468,711018.77,734120,39.5,0.2758
28,5,41,20988,711018.77,734120,40.5,0.2382
28,5,44,22548,711018.77,734120,44,0.3026
20,2,62,31780,707841.82,733040,61.5,0.2478
20,2,63,32300,707841.82,733040,62.5,0.2478
20,2,64,32820,707841.82,733040,63.5,0.1866
20,2,65,33340,707841.82,733040,64.5,0.1343
20,2,66,33860,707841.82,733040,65.5,0.1454
20,2,67,34380,707841.82,733040,66.5,0.2382
20,2,68,34900,707841.82,733040,67.5,0.2478
20,2,69,35420,707841.82,733040,68.5,0.2573
20,2,70,35940,707841.82,733040,69.5,0.2271
20,2,71,36460,707841.82,733040,70.5,0.1454
24,2,66,33864,709329.76,733040,65.5,0.1985
24,2,67,34384,709329.76,733040,67,0.2464
39,7,17,8599,715522.79,735240,17,0.1116
39,7,19,9639,715522.79,735240,18.5,0.1985
39,7,20,10159,715522.79,735240,19.5,0.1882
39,7,21,10679,715522.79,735240,20.5,0.1343
39,7,22,11199,715522.79,735240,21.9,0.2573
39,7,23,11719,715522.79,735240,22.5,0.1857
39,7,25,12759,715522.79,735240,24.5,0.1454
39,7,26,13279,715522.79,735240,25.5,0.1454
39,7,26,13279,715522.79,735240,26,0.1563
39,7,27,13799,715522.79,735240,27,0.2086
39,7,28,14319,715522.79,735240,27.5,0.2666
39,7,29,14839,715522.79,735240,28.5,0.2086
39,7,32,16399,715522.79,735240,31.2,0.2933
39,7,33,16919,715522.79,735240,32.7,0.2758
39,7,34,17439,715522.79,735240,33.5,0.2285
39,7,35,17959,715522.79,735240,34.5,0.2382
39,7,36,18479,715522.79,735240,35.5,0.1563
39,7,40,20559,715522.79,735240,40,0.2888
39,7,43,22119,715522.79,735240,42.5,0.1454
35,4,31,15755,713873.99,734040,30.5,0.2451
35,4,35,17835,713873.99,734040,34.5,0.2186
35,4,37,18875,713873.99,734040,36.5,0.2573
35,4,38,19395,713873.99,734040,38,0.3014
35,4,40,20435,713873.99,734040,39.5,0.2848
35,4,41,20955,713873.99,734040,40.5,0.2478
35,4,42,21475,713873.99,734040,41.5,0.2573
35,4,43,21995,713873.99,734040,42.5,0.2573
35,4,44,22515,713873.99,734040,43.5,0.2758
35,4,45,23035,713873.99,734040,44.5,0.2382
12,2,7,3172,704785.52,733080,6.5,0.2938
12,2,8,3692,704785.52,733080,7.5,0.3941
12,2,9,4212,704785.52,733080,8.5,0.3026
12,2,10,4732,704785.52,733080,9.5,0.2285
12,2,11,5252,704785.52,733080,10.5,0.3787
12,2,13,6292,704785.52,733080,12.5,0.3379
12,2,14,6812,704785.52,733080,14,0.2836
